clientType, clientName, mean, sd, total
rpc, c5, 2400669.130000, 6255347.183423, 10000
rpc, c1, 984691.480000, 347720.237682, 10000
rpc, c4, 985861.770000, 393349.438615, 10000
rpc, c3, 2644181.490000, 1699371.913041, 10000
rpc, c5, 2644084.110000, 1681961.901117, 10000
rpc, c2, 2644181.490000, 1683516.814019, 10000
tcp, c3, 1476300.810000, 536635.091535, 10000
tcp, c2, 1476300.810000, 539638.671341, 10000
tcp, c4, 1476495.920000, 534898.846480, 10000
tcp, c1, 1476098.140000, 535590.666005, 10000
tcp, c5, 1476395.770000, 536050.188087, 10000
